Accepted Symbol,Synonym Symbol,Scientific Name,State and Province,Duration,Invasive,Shade Tolerance
ANHA,,Andropogon hallii,"USA (AZ, CO, IA, IL, IN, KS, MN, MT, ND, NE, NM, OK, SD, TX, UT, WY), CAN (MB, SK)",Perennial,,Intolerant
ANTE2,,Andropogon ternarius,"USA (AL, AR, DC, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NJ, OK, SC, TN, TX, VA)",Perennial,,Tolerant
ANTET,,Andropogon ternarius var. ternarius,"USA (AL, AR, DC, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NJ, OK, SC, TN, TX, VA)",Perennial,,
ANVI2,,Andropogon virginicus,"USA (AL, AR, CA, CT, DC, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NJ, NY, OH, OK, PA, RI, SC, TN, TX, UM, VA, WV), USA+ (PR), CAN (ON)",Perennial,"HEAR, KY, N'EAST, STATE, SWSS",Intolerant
ANVIV,,Andropogon virginicus var. virginicus,"USA (AL, AR, CA, CT, DC, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WV), USA+ (PR), CAN (ON)",Perennial,,
ARAR6,,Aristida arizonica,"USA (AZ, CO, NM, NV, OK, TX, UT)",Perennial,,Intolerant
ARDI5,,Aristida divaricata,"USA (AZ, CA, CO, KS, NM, OK, TX)",Perennial,,Intermediate
ARHA3,,Aristida havardii,"USA (AZ, CO, KS, NM, OK, TX)",Perennial,,
ARLA6,,Aristida lanosa,"USA (AL, AR, DE, FL, GA, IL, LA, MD, MO, MS, NC, NJ, OK, SC, TN, TX, VA, WV)",Perennial,,
ARPU8,,Aristida purpurascens,"USA (AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NE, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WI, WV), CAN (ON)",Perennial,,
ARPUP4,,Aristida purpurascens var. purpurascens,"USA (AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NE, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WI, WV), CAN (ON)",Perennial,,
ARPU9,,Aristida purpurea,"USA (AR, AZ, CA, CO, IA, ID, IL, KS, LA, MN, MT, NC, ND, NE, NM, NV, OK, OR, SC, SD, TX, UT, VT, WA, WY), CAN (AB, BC, MB, SK)","Annual, Perennial",NE&GP,
ARPUF,,Aristida purpurea var. fendleriana,"USA (AZ, CA, CO, KS, MT, ND, NE, NM, NV, OK, SD, TX, UT, WY)",Perennial,,
ARPUL,,Aristida purpurea var. longiseta,"USA (AZ, CA, CO, IA, ID, KS, LA, MN, MT, NC, ND, NE, NM, NV, OK, OR, SC, SD, TX, UT, WA, WY), CAN (AB, BC, MB, SK)",Perennial,,Intolerant
ARPUN,,Aristida purpurea var. nealleyi,"USA (AZ, CA, CO, IL, KS, NM, NV, OK, TX, UT, VT)",Perennial,,
ARPUP6,,Aristida purpurea var. purpurea,"USA (AR, AZ, CA, CO, KS, LA, NM, NV, OK, TX, UT)",Perennial,,
ARPUW,,Aristida purpurea var. wrightii,"USA (AZ, CA, CO, NM, NV, OK, TX, UT)","Annual, Perennial",,
ARGI,,Arundinaria gigantea,"USA (AL, AR, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NJ, NY, OH, OK, SC, TN, TX, VA, WV)",Perennial,,Intolerant
ARTE4,,Arundinaria tecta,"USA (AL, AR, FL, GA, LA, MD, MS, NC, NJ, NY, OK, PA, SC, TN, TX, VA)",Perennial,,
ARDO4,,Arundo donax,"USA (AL, AR, AZ, CA, DE, FL, GA, HI, IL, KS, KY, LA, MD, MO, MS, NC, NM, NV, OK, SC, TN, TX, UT, VA, WV), USA+ (PR, VI)",Perennial,"Cal-IPC, HEAR, SEEPPC, STATE",Intermediate
AXFI,,Axonopus fissifolius,"USA (AL, AR, CA, FL, GA, HI, LA, MS, NC, OK, SC, TX, VA), USA+ (PR)",Perennial,HEAR,
AXFU,,Axonopus furcatus,"USA (AL, AR, DE, FL, GA, LA, MD, MS, NC, OK, SC, TX, VA)",Perennial,,
BOBA3,,Bothriochloa barbinodis,"USA (AZ, CA, CO, FL, HI, NM, NV, OK, SC, TX, UT)",Perennial,,Intolerant
BOBL,,Bothriochloa bladhii,"USA (CO, FL, HI, KS, LA, MO, NE, NM, OH, OK, TX)",Perennial,,Intolerant
BOIS,,Bothriochloa ischaemum,"USA (AL, AR, AZ, CA, CO, FL, GA, KS, LA, MS, NM, NY, OH, OK, SC, TN, TX, UT), USA+ (PR, VI)",Perennial,,
BOISS,,Bothriochloa ischaemum var. songarica,"USA (AL, AR, AZ, CA, CO, FL, KS, LA, MS, NM, NY, OK, SC, TN, TX, UT), USA+ (PR, VI)",Perennial,,
BOLA2,,Bothriochloa laguroides,"USA (AL, AR, AZ, CA, CO, FL, GA, HI, IL, IN, KS, KY, LA, MO, MS, NE, NM, NV, OH, OK, SC, TN, TX, UT)",Perennial,,
BOLAT,,Bothriochloa laguroides ssp. torreyana,"USA (AL, AR, AZ, CA, CO, FL, GA, IL, IN, KS, KY, LA, MO, MS, NE, NM, NV, OK, SC, TN, TX, UT)",Perennial,,
BOCU,,Bouteloua curtipendula,"USA (AL, AR, AZ, CA, CO, CT, DC, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY), CAN (AB, BC, MB, ON, SK)",Perennial,,Intolerant
BOCUC,,Bouteloua curtipendula var. caespitosa,"USA (AZ, CA, CO, NM, OK, TX, UT)",Perennial,,
BOCUC2,,Bouteloua curtipendula var. curtipendula,"USA (AL, AR, AZ, CO, CT, DC, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MD, ME, MI, MN, MO, MS, MT, ND, NE, NJ, NM, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY), CAN (AB, BC, MB, ON, SK)",Perennial,,
BODA2,,Bouteloua dactyloides,"USA (AR, AZ, CO, GA, IA, IL, KS, LA, MN, MO, MT, ND, NE, NM, NV, OK, SD, TX, UT, VA, WI, WY), CAN (MB, SK)",Perennial,,
BOER4,,Bouteloua eriopoda,"USA (AZ, CA, CO, KS, NM, NV, OK, TX, UT, WY)",Perennial,,Intolerant
BOGR2,,Bouteloua gracilis,"USA (AZ, CA, CO, CT, FL, IA, ID, IL, KS, MA, ME, MI, MN, MO, MT, ND, NE, NM, NV, NY, OH, OK, SC, SD, TX, UT, WI, WY), CAN (AB, BC, MB, ON, SK)",Perennial,,Intolerant
BOHI2,,Bouteloua hirsuta,"USA (AR, AZ, CO, FL, GA, IA, IL, KS, LA, MD, ME, MN, MO, MS, MT, ND, NE, NM, NV, NY, OH, OK, SC, SD, TX, UT, WI, WY)",Perennial,,Intolerant
BOHIH,,Bouteloua hirsuta var. hirsuta,"USA (AR, AZ, CO, FL, GA, IA, IL, KS, LA, MD, ME, MN, MO, MS, MT, ND, NE, NM, NV, NY, OH, OK, SC, SD, TX, UT, WI, WY)",Perennial,,
BOHIP,,Bouteloua hirsuta var. pectinata,"USA (OK, TX)",Perennial,,
BORI,,Bouteloua rigidiseta,"USA (AR, LA, MA, OK, TX)",Perennial,,
BRER2,,Brachyelytrum erectum,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WI, WV), USA+ (PR), CAN (NB, NF, NS, ON, QC)",Perennial,,
BRCA6,,Bromus catharticus,"USA (AL, AR, AZ, CA, CO, DC, FL, GA, HI, IA, IL, KS, KY, LA, MD, MO, MS, NC, ND, NE, NJ, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UM, UT, VA), CAN (AB, LB, ON)","Annual, Perennial","SEEPPC, SWSS, WSWS",Intolerant
BRDI3,,Bromus diandrus,"USA (AR, AZ, CA, CO, DC, DE, GA, HI, ID, IL, LA, MA, MD, MO, MT, NC, NJ, NM, NV, NY, OK, OR, SC, TX, UT, VA, WA), CAN (BC)","Annual, Perennial","Cal-IPC, SWSS",
BRDIR,,Bromus diandrus ssp. rigidus,"USA (AR, AZ, CA, CO, DC, DE, GA, HI, ID, IL, LA, MA, MD, MO, MT, NC, NJ, NM, NV, NY, OK, OR, SC, TX, UT, VA, WA), CAN (BC)","Annual, Perennial",,
BRIN2,,Bromus inermis,"USA (AK, AR, AZ, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)",Perennial,"NE&GP, SEEPPC, WI",Intolerant
BRINI,,Bromus inermis ssp. inermis,"USA (AK, AR, AZ, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)",Perennial,,
BRINI2,,Bromus inermis ssp. inermis var. inermis,"USA (AK, AR, AZ, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)",Perennial,,
BRLA6,,Bromus lanatipes,"USA (AZ, CO, NM, OK, TX)",Perennial,,
BRNO,,Bromus nottowayanus,"USA (AL, AR, GA, IA, IL, IN, KS, KY, MD, MI, MO, NC, NJ, NY, OH, OK, TN, TX, VA), CAN (ON)",Perennial,,
BRPU6,,Bromus pubescens,"USA (AL, AR, CO, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY), CAN (MB, ON, QC)",Perennial,,
CAAR12,,Calamovilfa arcuata,"USA (AL, AR, KY, OK, TN)",Perennial,,
CAGI3,,Calamovilfa gigantea,"USA (AZ, CO, KS, NE, NM, OK, TX, UT)",Perennial,,
CESP4,,Cenchrus spinifex,"USA (AL, AR, AZ, CA, DC, FL, GA, KS, KY, LA, MA, MD, ME, MS, NC, NM, NV, OK, SC, TN, TX, VA, VT), USA+ (PR, VI)","Annual, Perennial",,
CHLA5,,Chasmanthium latifolium,"USA (AL, AR, AZ, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MO, MS, NC, NJ, NM, OH, OK, PA, SC, TN, TX, VA, WI, WV)",Perennial,,Tolerant
CHLA6,,Chasmanthium laxum,"USA (AL, AR, DC, DE, FL, GA, KY, LA, MD, MO, MS, NC, NJ, NY, OK, PA, SC, TN, TX, VA)",Perennial,,Tolerant
CHSE2,,Chasmanthium sessiliflorum,"USA (AL, AR, FL, GA, LA, MO, MS, NC, OK, SC, TN, TX, VA)",Perennial,,Intolerant
CHCU2,,Chloris cucullata,"USA (AR, AZ, FL, KS, ME, NM, OK, SC, TX)",Perennial,,
CHVE2,,Chloris verticillata,"USA (AR, AZ, CA, CO, CT, DE, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, NE, NJ, NM, NV, NY, OH, OK, PA, SC, SD, TN, TX, UT, VA, WY)",Perennial,NE&GP,
CIAR2,,Cinna arundinacea,"USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV), CAN (NB, ON, QC)",Perennial,,Tolerant
COCY,,Coelorachis cylindrica,"USA (AL, AR, FL, GA, KS, LA, MO, MS, NC, OK, SC, TX)",Perennial,,Intermediate
CYDA,,Cynodon dactylon,"USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, SC, TN, TX, UM, UT, VA, WA, WV), USA+ (PR, VI), CAN (BC), FRA (SPM)",Perennial,"KY, N'EAST, STATE, SWSS, WSWS",Intolerant
DAGL,,Dactylis glomerata,"USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR), CAN (AB, BC, MB, NB, NF, NS, ON, PE, QC, YT), DEN (GL), FRA (SPM)",Perennial,"N'EAST, NE&GP",Tolerant
DAGLG,,Dactylis glomerata ssp. glomerata,"USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR), CAN (AB, BC, MB, NB, NF, NS, ON, PE, QC, YT), DEN (GL), FRA (SPM)",Perennial,,
DASP2,,Danthonia spicata,"USA (AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)",Perennial,,
DEFL,,Deschampsia flexuosa,"USA (AK, AL, AR, CT, DC, DE, GA, KY, MA, MD, ME, MI, MN, NC, ND, NH, NJ, NY, OH, OK, PA, RI, SC, TN, VA, VT, WI, WV), CAN (BC, LB, NB, NF, NS, ON, PE, QC), DEN (GL), FRA (SPM)",Perennial,,Tolerant
DEFLF,,Deschampsia flexuosa var. flexuosa,"USA (AK, AL, AR, CT, DC, DE, GA, KY, MA, MD, ME, MI, MN, NC, ND, NH, NJ, NY, OH, OK, PA, RI, SC, TN, VA, VT, WI, WV), CAN (BC, LB, NB, NF, NS, ON, PE, QC), DEN (GL), FRA (SPM)",Perennial,,
DIAM,,Diarrhena americana,"USA (AL, AR, GA, IL, IN, KY, MD, MI, MO, NC, OH, OK, TN, VA, WV)",Perennial,,
DIOB3,,Diarrhena obovata,"USA (AR, IA, IL, IN, KS, KY, MD, MI, MN, MO, NE, NY, OH, OK, PA, SD, TN, TX, VA, WI, WV), CAN (ON)",Perennial,,
DIAC,,Dichanthelium aciculare,"USA (AL, AR, DC, DE, FL, GA, IN, KY, LA, MD, MS, NC, NJ, NY, OK, PA, SC, TN, TX, VA, WV), USA+ (PR)",Perennial,,Intermediate
DIAC2,,Dichanthelium acuminatum,"USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR), CAN (AB, BC, MB, NB, NS, ON, PE, QC, SK)",Perennial,,
DIACF,,Dichanthelium acuminatum var. fasciculatum,"USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR), CAN (AB, BC, MB, NB, NS, ON, PE, QC, SK)",Perennial,,
DIACL,,Dichanthelium acuminatum var. lindheimeri,"USA (AL, AR, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, VT, WI, WV), CAN (MB, NB, NS, ON, QC)",Perennial,,
DIBO2,,Dichanthelium boscii,"USA (AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WV)",Perennial,,
DICL,,Dichanthelium clandestinum,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV), CAN (NS, ON, QC)",Perennial,,Intolerant
DICO2,,Dichanthelium commutatum,"USA (AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WV)",Perennial,,Intermediate
DIDE4,,Dichanthelium depauperatum,"USA (AL, AR, CO, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV, WY), CAN (MB, NB, NS, ON, PE, QC)",Perennial,,
DIDI6,,Dichanthelium dichotomum,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV), USA+ (PR), CAN (NB, ON)",Perennial,,
DIDID,,Dichanthelium dichotomum var. dichotomum,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV), USA+ (PR), CAN (NB, ON)",Perennial,,
DILA8,,Dichanthelium latifolium,"USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV), CAN (ON, QC)",Perennial,,Intermediate
DILA9,,Dichanthelium laxiflorum,"USA (AL, AR, DC, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, OH, OK, PA, RI, SC, TN, TX, VA, WV)",Perennial,,
DILI2,,Dichanthelium linearifolium,"USA (AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SD, TN, TX, VA, VT, WI, WV, WY), CAN (MB, NB, NS, ON, QC, SK)",Perennial,,
DILO4,,Dichanthelium longiligulatum,"USA (AL, AR, CA, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, ND, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV)",Perennial,,
DIMA5,,Dichanthelium malacophyllum,"USA (AR, IL, KS, KY, MO, OK, TN, TX)",Perennial,,
DIOL,,Dichanthelium oligosanthes,"USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, ON, SK)",Perennial,,
DIOLO,,Dichanthelium oligosanthes var. oligosanthes,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, LA, MD, MI, MN, MO, MS, MT, NC, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI), CAN (ON)",Perennial,,
DIOLS,,Dichanthelium oligosanthes var. scribnerianum,"USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, ON, SK)",Perennial,,
DIOV,,Dichanthelium ovale,"USA (AL, AR, CT, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, MI, MN, MS, NC, NJ, NY, OH, OK, PA, SC, TX, VA, WI), USA+ (PR)",Perennial,,Tolerant
DIOVA,,Dichanthelium ovale var. addisonii,"USA (AL, AR, CT, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, MI, MN, MS, NC, NJ, NY, OH, OK, PA, SC, TX, VA, WI), USA+ (PR)",Perennial,,
DIRA,,Dichanthelium ravenelii,"USA (AL, AR, DC, DE, FL, GA, IA, IL, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA)",Perennial,,
DISC3,,Dichanthelium scoparium,"USA (AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NJ, NY, OK, PA, RI, SC, TN, TX, VA), USA+ (PR)",Perennial,,Tolerant
DISP2,,Dichanthelium sphaerocarpon,"USA (AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV), CAN (ON)",Perennial,,
DISPI,,Dichanthelium sphaerocarpon var. isophyllum,"USA (AL, AR, CT, DC, DE, GA, IL, IN, KY, LA, MA, MD, MI, MO, MS, NC, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV)",Perennial,,
DISPS3,,Dichanthelium sphaerocarpon var. sphaerocarpon,"USA (AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV), CAN (ON)",Perennial,,
DIVI7,,Dichanthelium villosissimum,"USA (AL, AR, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, WI, WV), CAN (ON, PE, QC)",Perennial,,
DIVIP,,Dichanthelium villosissimum var. praecocius,"USA (AR, IA, IL, IN, KS, KY, MI, MN, MO, ND, NE, OH, OK, SD, TX, WI)",Perennial,,
